IdVenta;Fecha;IdCliente;IdProducto;IdTienda;IdVendedor;IdMetodoPago;Cantidad;Precio;Total
VT0096;2025-01-18;C005;P004;T003;VEND04;5;2;1893;3786
VT0097;2025-07-20;C030;P015;T003;VEND03;5;3;1319;3957
VT0098;2025-10-23;C025;P016;T004;VEND01;3;2;1416;2832
VT0099;2025-06-15;C015;P006;T004;VEND07;1;1;1972;1972
VT0100;2025-04-20;C009;P011;T004;VEND02;1;2;699;1398
VT0101;2025-09-15;C007;P005;T003;VEND02;3;1;4824;4824
VT0102;2025-06-09;C002;P016;T002;VEND05;4;3;1416;4248
VT0103;2025-08-17;C006;P006;T003;VEND03;2;1;1972;1972
VT0104;2025-05-29;C028;P020;T001;VEND05;4;1;3515;3515
VT0105;2025-04-07;C025;P003;T002;VEND05;2;2;2839;5678
VT0106;2025-02-24;C003;P012;T001;VEND02;1;3;1634;4902
VT0107;2025-06-12;C003;P003;T001;VEND07;1;1;2839;2839
VT0108;2025-02-11;C009;P001;T001;VEND01;3;2;4307;8614
VT0109;2025-01-30;C001;P018;T005;VEND06;2;1;1865;1865
VT0110;2025-05-06;C006;P012;T005;VEND03;2;1;1634;1634
VT0111;2025-07-25;C015;P010;T003;VEND03;1;1;810;810
VT0112;2025-08-16;C002;P013;T004;VEND02;1;3;827;2481
VT0113;2025-08-18;C015;P006;T004;VEND06;3;1;1972;1972
VT0114;2025-09-27;C028;P007;T002;VEND03;2;3;4860;14580
VT0115;2025-06-01;C030;P001;T005;VEND02;2;3;4307;12921
VT0116;2025-05-19;C021;P014;T001;VEND03;5;1;1746;1746
VT0117;2025-12-06;C024;P014;T003;VEND07;5;1;1746;1746
VT0118;2025-02-20;C025;P017;T005;VEND01;3;1;1954;1954
VT0119;2025-06-02;C017;P011;T003;VEND08;2;1;699;699
VT0120;2025-10-08;C018;P011;T005;VEND04;2;1;699;699
VT0121;2025-04-30;C015;P002;T004;VEND02;3;3;3649;10947
VT0122;2025-07-07;C027;P007;T005;VEND03;4;2;4860;9720
VT0123;2025-06-04;C008;P007;T001;VEND06;4;3;4860;14580
VT0124;2025-07-21;C022;P002;T002;VEND01;5;2;3649;7298
VT0125;2025-04-01;C012;P017;T004;VEND04;5;2;1954;3908
VT0126;2025-04-11;C024;P016;T003;VEND06;2;2;1416;2832
VT0127;2025-10-25;C020;P015;T002;VEND03;1;1;1319;1319
VT0128;2025-05-20;C020;P010;T002;VEND01;2;3;810;2430
VT0129;2025-08-24;C005;P003;T003;VEND05;4;2;2839;5678
VT0130;2025-07-30;C011;P013;T004;VEND08;4;2;827;1654
VT0131;2025-02-21;C013;P014;T004;VEND07;1;2;1746;3492
VT0132;2025-03-20;C001;P003;T002;VEND03;1;3;2839;8517
VT0133;2025-10-08;C017;P012;T004;VEND04;1;2;1634;3268
VT0134;2025-06-01;C026;P017;T002;VEND03;4;3;1954;5862
VT0135;2025-10-06;C006;P008;T005;VEND08;2;2;2775;5550
VT0136;2025-07-23;C017;P005;T004;VEND02;4;1;4824;4824
VT0137;2025-02-27;C026;P014;T001;VEND04;3;2;1746;3492
VT0138;2025-10-05;C017;P008;T002;VEND07;2;3;2775;8325
VT0139;2025-05-06;C011;P011;T001;VEND06;3;2;699;1398
VT0140;2025-06-18;C003;P005;T002;VEND04;5;2;4824;9648
VT0141;2025-11-18;C020;P017;T004;VEND08;3;2;1954;3908
VT0142;2025-01-09;C009;P014;T005;VEND05;1;1;1746;1746
VT0143;2025-09-09;C002;P020;T005;VEND02;5;1;3515;3515
VT0144;2025-03-08;C014;P014;T005;VEND03;4;1;1746;1746
VT0145;2025-08-21;C006;P015;T003;VEND06;3;2;1319;2638
VT0146;2025-02-20;C028;P014;T003;VEND01;3;3;1746;5238
VT0147;2025-01-27;C019;P001;T004;VEND04;3;3;4307;12921
VT0148;2025-12-04;C028;P004;T004;VEND04;5;2;1893;3786
VT0149;2025-11-28;C002;P016;T005;VEND04;5;2;1416;2832
VT0150;2025-07-03;C026;P015;T001;VEND04;3;2;1319;2638
VT0151;2025-01-24;C009;P009;T001;VEND01;5;1;2225;2225
VT0152;2025-07-04;C020;P009;T002;VEND07;5;1;2225;2225
VT0153;2025-09-21;C014;P003;T001;VEND02;2;1;2839;2839
VT0154;2025-06-28;C028;P010;T003;VEND02;3;3;810;2430
VT0155;2025-02-10;C029;P016;T004;VEND08;3;1;1416;1416
VT0156;2025-11-01;C016;P007;T004;VEND04;1;2;4860;9720
VT0157;2025-10-28;C009;P016;T004;VEND08;3;1;1416;1416
VT0158;2025-06-14;C025;P018;T004;VEND02;2;3;1865;5595
VT0159;2025-07-11;C026;P007;T005;VEND07;4;1;4860;4860
VT0160;2025-12-04;C005;P001;T002;VEND03;3;2;4307;8614
VT0161;2025-02-02;C020;P012;T004;VEND08;3;2;1634;3268
VT0162;2025-02-02;C027;P003;T001;VEND07;3;2;2839;5678
VT0163;2025-02-28;C009;P002;T004;VEND04;4;1;3649;3649
VT0164;2025-04-06;C015;P004;T002;VEND03;1;1;1893;1893
VT0165;2025-01-21;C005;P006;T005;VEND01;1;1;1972;1972
VT0166;2025-06-16;C012;P001;T001;VEND06;4;1;4307;4307
VT0167;2025-08-16;C023;P006;T005;VEND06;1;1;1972;1972
VT0168;2025-08-14;C008;P008;T004;VEND06;5;1;2775;2775
VT0169;2025-11-19;C018;P005;T001;VEND07;3;3;4824;14472
VT0170;2025-12-15;C023;P009;T002;VEND01;2;3;2225;6675
VT0171;2025-08-15;C016;P006;T001;VEND08;3;2;1972;3944
VT0172;2025-05-05;C001;P012;T003;VEND07;2;3;1634;4902
VT0173;2025-12-14;C003;P010;T001;VEND06;2;1;810;810
VT0174;2025-07-12;C024;P004;T004;VEND08;4;1;1893;1893
VT0175;2025-07-30;C001;P010;T001;VEND06;5;1;810;810
VT0176;2025-02-20;C008;P016;T002;VEND04;2;1;1416;1416
VT0177;2025-10-23;C021;P004;T005;VEND01;2;3;1893;5679
VT0178;2025-03-15;C013;P012;T005;VEND01;3;3;1634;4902
VT0179;2025-11-29;C022;P020;T002;VEND07;4;3;3515;10545
VT0180;2025-06-21;C009;P005;T004;VEND02;5;2;4824;9648
VT0181;2025-08-30;C014;P013;T003;VEND08;1;1;827;827
VT0182;2025-08-16;C021;P014;T002;VEND03;3;1;1746;1746
VT0183;2025-02-16;C006;P013;T004;VEND06;4;2;827;1654
VT0184;2025-07-24;C017;P019;T005;VEND05;1;1;384;384
VT0185;2025-09-10;C023;P013;T003;VEND04;3;2;827;1654
VT0186;2025-01-28;C015;P012;T005;VEND03;3;1;1634;1634
VT0187;2025-11-11;C025;P006;T003;VEND05;5;2;1972;3944
VT0188;2025-11-24;C018;P020;T003;VEND07;5;3;3515;10545
VT0189;2025-01-17;C011;P020;T002;VEND02;2;3;3515;10545
VT0190;2025-12-17;C006;P008;T003;VEND04;1;3;2775;8325
VT0191;2025-02-02;C001;P005;T004;VEND07;5;2;4824;9648
VT0192;2025-01-07;C006;P005;T002;VEND02;4;3;4824;14472
VT0193;2025-11-01;C008;P001;T002;VEND01;5;3;4307;12921
VT0194;2025-01-22;C021;P004;T003;VEND05;4;1;1893;1893
VT0195;2025-04-12;C019;P016;T004;VEND07;5;3;1416;4248
VT0196;2025-11-27;C003;P011;T004;VEND01;1;1;699;699
VT0197;2025-09-20;C020;P008;T003;VEND04;4;3;2775;8325
VT0198;2025-02-05;C016;P015;T005;VEND07;3;1;1319;1319
VT0199;2025-08-25;C016;P019;T004;VEND04;4;2;384;768
VT0200;2025-04-11;C017;P001;T001;VEND03;4;1;4307;4307
